PseudoTimeSec,PseudoTimestamp,UF-FP1,UF-FP2,UF-O1,UF-O2,UF-C3,UF-CZ,UF-FZ,UF-C4
30.744,09-21-2026 21:19:00:085,-188300.125,120825.931,128670.142,70399.68,118940.338,41745.28,-155264.828,52563.48
30.748,09-21-2026 21:19:00:089,-186911.367,122286.036,128568.352,70189.395,119185.358,42349.314,-153399.173,51427.832
30.752,09-21-2026 21:19:00:093,-194251.948,114568.337,129450.53,67105.212,120083.764,30117.635,-163260.494,48020.89
30.756,09-21-2026 21:19:00:097,-198914.209,109666.554,129948.17,66053.786,120387.121,23775.282,-169523.766,47668.448
30.76,09-21-2026 21:19:00:101,-196235.889,112482.472,129574.94,67771.115,119745.403,29664.609,-166058.977,50292.185
30.764,09-21-2026 21:19:00:105,-188200.928,120930.224,128658.832,70434.728,118928.67,41896.289,-155131.567,52563.48
30.768,09-21-2026 21:19:00:109,-186911.367,122181.743,128568.352,70154.347,119162.022,42349.314,-153532.434,51427.832
30.772,09-21-2026 21:19:00:113,-193954.357,114881.216,129427.91,67210.354,120048.761,30268.643,-162993.972,48099.211
30.776,09-21-2026 21:19:00:117,-199013.406,109562.261,129970.79,66018.738,120398.789,23775.282,-169657.027,47668.448
30.78,09-21-2026 21:19:00:121,-196235.889,112482.472,129608.87,67771.115,119757.071,29513.601,-166192.238,50253.025
30.784,09-21-2026 21:19:00:125,-188300.125,120721.638,128704.071,70399.68,118952.005,41745.28,-155398.089,52563.48
30.788,09-21-2026 21:19:00:129,-186712.973,122390.33,128590.972,70259.49,119162.022,42651.331,-153399.173,51506.153
30.792,09-21-2026 21:19:00:133,-193557.569,115194.096,129416.6,67315.497,120048.761,31023.685,-162594.189,48216.691
30.796,09-21-2026 21:19:00:137,-198517.421,109979.434,129959.48,66123.881,120387.121,24077.299,-169257.244,47668.448
30.8,09-21-2026 21:19:00:141,-196632.677,112065.299,129665.42,67525.782,119815.409,28909.567,-166725.283,50096.384
30.804,09-21-2026 21:19:00:145,-188451.715,120471.298,128729.463,70321.851,118979.14,41455.825,-155801.985,52551.678
30.808,09-21-2026 21:19:00:149,-186602.645,122448.623,128557.802,70287.519,119141.235,42811.28,-153282.765,51639.682
30.812,09-21-2026 21:19:00:153,-192636.453,116100.37,129290.224,67609.601,119951.71,32268.856,-161238.198,48467.523
30.816,09-21-2026 21:19:00:157,-198378.303,110064.326,129931.093,66064.649,120368.525,24136.129,-169061.04,47595.179
30.82,09-21-2026 21:19:00:161,-197015.831,111625.372,129725.099,67369.275,119859.084,28051.886,-167337.363,49934.646
30.824,09-21-2026 21:19:00:165,-188646.354,120263.159,128763.795,70287.519,119002.297,41004.007,-156199.757,52512.026
30.828,09-21-2026 21:19:00:169,-186699.964,122240.483,128603.578,70287.519,119164.392,42811.28,-153547.946,51679.334
30.832,09-21-2026 21:19:00:173,-192052.536,116620.718,129278.78,67849.927,119916.975,33172.492,-160575.245,48626.131
30.836,09-21-2026 21:19:00:177,-198572.942,109856.186,130011.202,65961.652,120414.838,23684.311,-169326.221,47515.875
30.84,09-21-2026 21:19:00:181,-197210.47,111313.163,129793.764,67266.279,119905.397,27449.462,-167867.725,49855.342
30.844,09-21-2026 21:19:00:185,-189035.632,119742.81,128821.016,70115.858,119048.61,40552.189,-156862.71,52472.374
30.848,09-21-2026 21:19:00:189,-187186.561,121720.135,128637.91,70115.858,119187.548,42058.249,-154343.489,51520.726
30.852,09-21-2026 21:19:00:193,-193901.607,114539.324,129427.553,67197.614,120067.492,30612.189,-163359.647,48189.959
30.856,09-21-2026 21:19:00:197,-198962.22,109231.768,129988.313,65995.984,120449.572,23684.311,-170121.765,47595.179
